user_id,genero,edad,continente,pais,fecha_registro,tipo_suscripcion,puntos_cliente,medio_pago_guardado,tiene_tarjeta_retail,tiene_app_descargada,fecha_instalacion_app,notificaciones_activadas,plataforma_app,cantidad_ordenes,total_gastado,ticket_promedio,visitas_web,visitas_app,nivel_educativo
6d0c5fee-02a1-4d05-97b8-5205ff5f4006,F,24,Asia,India,2022-10-15,ULTRA,15365,Tarjeta Credito Bancario,0,1,2025-03-01,1,Android 13.3,31,7374.59,237.89,45,107,superior_completa
04f96586-65f5-4925-94e6-3fef6f7c2078,F,44,América,Brasil,2022-10-13,FREE,4225,Tarjeta credito marketplace,1,0,,0,,35,1539.3,43.98,83,0,escolar_completa
3de734ba-6a44-47fe-a195-4cfff71f68b3,M,36,Europa,Portugal,2024-12-21,PREMIUM,4468,Tarjeta Credito Bancario,1,1,2025-06-18,1,Android 15.2,18,2183.22,121.29,31,97,superior_incompleta
ba59b829-1e50-4f40-9ccc-73e403f77aef,M,25,América,Ecuador,2025-02-11,FREE,6404,Tarjeta Credito Bancario,0,0,,0,,16,653.28,40.83,100,0,escolar_completa
f12de370-ae04-4565-a853-b6d65e622770,F,28,América,Venezuela,2024-09-06,PREMIUM,11450,Tarjeta Credito Bancario,0,1,2024-12-05,1,KaiOS,17,1799.96,105.88,41,164,escolar_completa
5bef6a77-6317-418f-b105-13b07fad89bb,M,18,Europa,Alemania,2024-04-22,FREE,6374,Tarjeta Credito Bancario,0,0,,0,,24,571.92,23.83,112,0,escolar_completa
ef95768f-eaaa-4d5b-bdac-3de37381be51,F,33,América,México,2025-08-19,FREE,1012,Tarjeta credito marketplace,1,0,,0,,37,1631.7,44.1,87,0,superior_incompleta
93b5d04e-cce4-4f0c-bc1e-67d3d5c2dad5,M,52,América,México,2022-09-08,FREE,2963,Tarjeta credito marketplace,1,0,,0,,11,335.72,30.52,104,0,postgrado
51f8260e-9974-457f-bf50-29bfcae989b8,F,40,América,EE. UU.,2023-07-05,PREMIUM,8268,Tarjeta Credito Bancario,0,1,2024-06-15,1,Android 13.3,23,3243.0,141.0,33,160,superior_completa
e7fcca4c-3af4-4742-b6b5-707b0c409a5f,F,31,América,Canadá,2021-04-11,PREMIUM,8716,Tarjeta credito marketplace,1,0,,0,,13,2255.37,173.49,92,0,superior_incompleta
78f3cec6-0006-4ae0-8e91-f1c94cf04ff9,F,27,América,EE. UU.,2022-12-03,PREMIUM,10112,Tarjeta Credito Bancario,0,1,2023-03-11,1,Android 14.1,39,5586.75,143.25,16,182,postgrado
c9c83a2a-a5e0-4e3b-a694-89077c1dee1e,F,40,América,Brasil,2022-10-23,FREE,2456,Tarjeta Credito Bancario,0,0,,0,,24,986.88,41.12,111,0,escolar_completa
67af1a38-8f10-469d-a425-0cd8e06e055e,M,40,Asia,India,2022-08-24,PREMIUM,8910,Tarjeta Debido Bancario,0,0,,0,,21,2283.12,108.72,98,0,superior_completa
835a489b-dbbd-487e-9160-3a68ebbfbe20,F,21,América,Perú,2024-09-07,FREE,3411,Mercado Pago,0,0,,0,,21,1062.39,50.59,164,0,postgrado
